session_id,dominant,dominant_fraction,is_visual,is_spontaneous,survives
715093703,gabors,0.6393022498424694,True,False,False
719161530,gabors,0.6000082376523165,True,False,True
721123822,gabors,0.6094003278799827,True,False,False
743475441,gabors,0.6134046465637387,True,False,False
744228101,gabors,0.6135514602921202,True,False,False
746083955,gabors,0.5863552465335682,True,False,False
750332458,gabors,0.6141064842923244,True,False,True
750749662,gabors,0.6142990785612609,True,False,False
751348571,gabors,0.6144083621798571,True,False,True
754312389,gabors,0.6135778943329459,True,False,True
754829445,gabors,0.6136002405257978,True,False,True
755434585,gabors,0.6135018938626958,True,False,False
756029989,gabors,0.6138934996895561,True,False,False
757216464,gabors,0.6129492866595216,True,False,True
757970808,gabors,0.6136596169827725,True,False,True
758798717,gabors,0.6135457752788501,True,False,True
759883607,gabors,0.6131274024718832,True,False,True
760345702,gabors,0.6130909681325448,True,False,True
761418226,gabors,0.5955677424726058,True,False,False
762602078,gabors,0.5986792665779862,True,False,True
763673393,gabors,0.604675657748959,True,False,True
766640955,gabors,0.6353189834877165,True,False,False
767871931,gabors,0.6352190723771913,True,False,True
768515987,gabors,0.6352805927640871,True,False,False
771160300,gabors,0.6348998487160012,True,False,True
771990200,gabors,0.6352756914586489,True,False,False
773418906,gabors,0.6009675998737425,True,False,True
774875821,gabors,0.6485763614039797,True,False,True
778240327,gabors,0.6354212801141879,True,False,True
778998620,gabors,0.6489036496712074,True,False,True
779839471,gabors,0.634927403922709,True,False,False
781842082,gabors,0.6355222158226997,True,False,True
786091066,gabors,0.6352756506392536,True,False,False
787025148,gabors,0.6353435375577888,True,False,False
789848216,gabors,0.635083144585225,True,False,False
791319847,gabors,0.6017730911086414,True,False,False
793224716,gabors,0.6311468880212138,True,False,False
794812542,gabors,0.6488727210844699,True,False,True
797828357,gabors,0.6016026361718992,True,False,True
798911424,gabors,0.6127820659847502,True,False,False
799864342,gabors,0.6021913695838811,True,False,True
816200189,gabors,0.6492369053679793,True,False,False
821695405,gabors,0.6440034630924214,True,False,True
829720705,gabors,0.649899983448518,True,False,True
831882777,gabors,0.6497958004163863,True,False,True
835479236,gabors,0.6497138275831488,True,False,True
839068429,gabors,0.6489483645103863,True,False,True
840012044,gabors,0.6488725648912367,True,False,True
847657808,gabors,0.6495603011455541,True,False,True
